card_id,edition,edition_status,match_number,match_id,date_utc,stage,team_id,team,opponent,player_id,player,card_type,minute_label,t_min,period,event_scope,nominal_basis_min,t_end_min,reset_window,base_horizon,effective_horizon,accumulation_role,paired_card_id,stop_scope,stop_card_id,stop_match_number,stop_t_min,stop_gap_fixtures,nominal_remainder_min,exp_match_min_rho_1,exp_match_min_rho_1_5,exp_match_min_rho_2,source_url,source_archive
2014-005-207890,2014,final,5,300186471,2014-06-14T16:00:00Z,group,43949,Greece,Colombia,215513,Dimitrios SALPINGIDIS,Y,54',54,5,in_play,90,93.87,pre_quarter_final_reset,4,4,single_caution,,,,,,,36,39.87,39.87,39.87,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186471?language=en,data/raw/2014/fifa/timelines/m005_300186471.json
2014-006-207942,2014,final,6,300186507,2014-06-15T01:00:00Z,group,43819,Japan,Côte d'Ivoire,271253,YOSHIDA,Y,22',22,3,in_play,90,95.9,pre_quarter_final_reset,4,4,single_caution,,,,,,,68,73.9,73.9,73.9,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186507?language=en,data/raw/2014/fifa/timelines/m006_300186507.json
2014-006-207945,2014,final,6,300186507,2014-06-15T01:00:00Z,group,43854,Côte d'Ivoire,Japan,207946,Bamba,Y,53',53,5,in_play,90,95.9,pre_quarter_final_reset,4,4,single_caution,,,,,,,37,42.9,42.9,42.9,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186507?language=en,data/raw/2014/fifa/timelines/m006_300186507.json
2014-006-207946,2014,final,6,300186507,2014-06-15T01:00:00Z,group,43854,Côte d'Ivoire,Japan,176971,Didier ZOKORA,Y,57',57,5,in_play,90,95.9,pre_quarter_final_reset,4,1,accumulation_first_caution,2014-021-208199,cross_match,2014-021-208199,21,54,0,33,38.9,38.9,38.9,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186507?language=en,data/raw/2014/fifa/timelines/m006_300186507.json
2014-006-207949,2014,final,6,300186507,2014-06-15T01:00:00Z,group,43819,Japan,Côte d'Ivoire,268594,M. Morishige,Y,63',63,5,in_play,90,95.9,pre_quarter_final_reset,4,4,single_caution,,,,,,,27,32.9,32.9,32.9,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186507?language=en,data/raw/2014/fifa/timelines/m006_300186507.json
2014-007-207906,2014,final,7,300186489,2014-06-14T19:00:00Z,group,43930,Uruguay,Costa Rica,239433,Diego LUGANO,Y,49',49,5,in_play,90,95.13,pre_quarter_final_reset,4,4,single_caution,,,,,,,41,46.13,46.13,46.13,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186489?language=en,data/raw/2014/fifa/timelines/m007_300186489.json
2014-007-207908,2014,final,7,300186489,2014-06-14T19:00:00Z,group,43930,Uruguay,Costa Rica,276131,Gargano,Y,56',56,5,in_play,90,95.13,pre_quarter_final_reset,4,4,single_caution,,,,,,,34,39.13,39.13,39.13,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186489?language=en,data/raw/2014/fifa/timelines/m007_300186489.json
2014-007-207918,2014,final,7,300186489,2014-06-14T19:00:00Z,group,43930,Uruguay,Costa Rica,267829,M. CACERES,Y,80',80,5,in_play,90,95.13,pre_quarter_final_reset,4,4,single_caution,,,,,,,10,15.13,15.13,15.13,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186489?language=en,data/raw/2014/fifa/timelines/m007_300186489.json
2014-007-207924,2014,final,7,300186489,2014-06-14T19:00:00Z,group,43930,Uruguay,Costa Rica,286481,M. PEREIRA,R,90'+3',93,5,in_play,90,95.13,pre_quarter_final_reset,0,0,dismissal,,,,,,,0,2.13,3.195,4.26,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186489?language=en,data/raw/2014/fifa/timelines/m007_300186489.json
2014-008-207940,2014,final,8,300186513,2014-06-14T22:00:00Z,group,43942,England,Italy,336043,STERLING,Y,90'+1',91,5,in_play,90,95.1,pre_quarter_final_reset,4,4,single_caution,,,,,,,0,4.1,4.1,4.1,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186513?language=en,data/raw/2014/fifa/timelines/m008_300186513.json
2014-009-207964,2014,final,9,300186494,2014-06-15T16:00:00Z,group,43927,Ecuador,Switzerland,349576,Paredes,Y,52',52,5,in_play,90,93.87,pre_quarter_final_reset,4,4,single_caution,,,,,,,38,41.87,41.87,41.87,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186494?language=en,data/raw/2014/fifa/timelines/m009_300186494.json
2014-009-207971,2014,final,9,300186494,2014-06-15T16:00:00Z,group,43971,Switzerland,Ecuador,216645,DJOUROU,Y,83',83,5,in_play,90,93.87,pre_quarter_final_reset,4,4,single_caution,,,,,,,7,10.87,10.87,10.87,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186494?language=en,data/raw/2014/fifa/timelines/m009_300186494.json
2014-010-207982,2014,final,10,300186496,2014-06-15T19:00:00Z,group,43946,France,Honduras,212246,Patrice EVRA,Y,6',6,3,in_play,90,93.08,pre_quarter_final_reset,4,4,single_caution,,,,,,,84,87.08,87.08,87.08,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-207983,2014,final,10,300186496,2014-06-15T19:00:00Z,group,43909,Honduras,France,209827,W. Palacios,Y,27',27,3,in_play,90,93.08,pre_quarter_final_reset,4,0,same_match_first_caution,2014-010-207985,same_match,2014-010-207985,10,42,0,63,66.08,66.08,66.08,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-207984,2014,final,10,300186496,2014-06-15T19:00:00Z,group,43946,France,Honduras,367388,POGBA,Y,27',27,3,in_play,90,93.08,pre_quarter_final_reset,4,4,single_caution,,,,,,,63,66.08,66.08,66.08,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-207985,2014,final,10,300186496,2014-06-15T19:00:00Z,group,43909,Honduras,France,209827,W. Palacios,Y2,42',42,3,in_play,90,93.08,pre_quarter_final_reset,0,0,dismissal,2014-010-207983,,,,,,48,51.08,76.62,102.16,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-207988,2014,final,10,300186496,2014-06-15T19:00:00Z,group,43946,France,Honduras,358013,Cabaye,Y,45'+1',46,3,in_play,90,93.08,pre_quarter_final_reset,4,1,accumulation_first_caution,2014-025-208287,cross_match,2014-025-208287,25,87,0,44,47.08,47.08,47.08,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-207994,2014,final,10,300186496,2014-06-15T19:00:00Z,group,43909,Honduras,France,237071,B. García,Y,52',52,5,in_play,90,93.08,pre_quarter_final_reset,4,4,single_caution,,,,,,,38,41.08,41.08,41.08,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-208004,2014,final,10,300186496,2014-06-15T19:00:00Z,group,43909,Honduras,France,270400,L. Garrido,Y,82',82,5,in_play,90,93.08,pre_quarter_final_reset,4,4,single_caution,,,,,,,8,11.08,11.08,11.08,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-011-208006,2014,final,11,300186477,2014-06-15T22:00:00Z,group,43922,Argentina,Bosnia-Herzegovina,318688,M. Rojo,Y,24',24,3,in_play,90,93,pre_quarter_final_reset,4,3,accumulation_first_caution,2014-055-208889,cross_match,2014-055-208889,55,89,2,66,69,69,69,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186477?language=en,data/raw/2014/fifa/timelines/m011_300186477.json
2014-011-208011,2014,final,11,300186477,2014-06-15T22:00:00Z,group,44037,Bosnia-Herzegovina,Argentina,216069,Spahic,Y,62',62,5,in_play,90,93,pre_quarter_final_reset,4,4,single_caution,,,,,,,28,31,31,31,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186477?language=en,data/raw/2014/fifa/timelines/m011_300186477.json
2014-012-208058,2014,final,12,300186505,2014-06-16T19:00:00Z,group,43817,Iran,Nigeria,237949,Teymourian,Y,74',74,5,in_play,90,92.08,pre_quarter_final_reset,4,4,single_caution,,,,,,,16,18.08,18.08,18.08,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186505?language=en,data/raw/2014/fifa/timelines/m012_300186505.json
2014-013-208032,2014,final,13,300186475,2014-06-16T16:00:00Z,group,43963,Portugal,Germany,214407,Pereira,Y,10',10,3,in_play,90,92.1,pre_quarter_final_reset,4,4,single_caution,,,,,,,80,82.1,82.1,82.1,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186475?language=en,data/raw/2014/fifa/timelines/m013_300186475.json
2014-013-208037,2014,final,13,300186475,2014-06-16T16:00:00Z,group,43963,Portugal,Germany,275931,Pepe,R,36',36,3,in_play,90,92.1,pre_quarter_final_reset,0,0,dismissal,,,,,,,54,56.1,84.15,112.2,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186475?language=en,data/raw/2014/fifa/timelines/m013_300186475.json
2014-014-208064,2014,final,14,300186512,2014-06-16T22:00:00Z,group,43860,Ghana,United States,311850,Rabiu,Y,29',29,3,in_play,90,95.03,pre_quarter_final_reset,4,4,single_caution,,,,,,,61,66.03,66.03,66.03,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186512?language=en,data/raw/2014/fifa/timelines/m014_300186512.json
2014-014-208077,2014,final,14,300186512,2014-06-16T22:00:00Z,group,43860,Ghana,United States,183000,Sulley MUNTARI,Y,90'+1',91,5,in_play,90,95.03,pre_quarter_final_reset,4,1,accumulation_first_caution,2014-029-208349,cross_match,2014-029-208349,29,93,0,0,4.03,4.03,4.03,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186512?language=en,data/raw/2014/fifa/timelines/m014_300186512.json
2014-015-208084,2014,final,15,300186479,2014-06-17T16:00:00Z,group,43935,Belgium,Algeria,290904,VERTONGHEN,Y,23',23,3,in_play,90,93.18,pre_quarter_final_reset,4,4,single_caution,,,,,,,67,70.18,70.18,70.18,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186479?language=en,data/raw/2014/fifa/timelines/m015_300186479.json
2014-015-208086,2014,final,15,300186479,2014-06-17T16:00:00Z,group,43843,Algeria,Belgium,379939,N. Bentaleb,Y,33',33,3,in_play,90,93.18,pre_quarter_final_reset,4,4,single_caution,,,,,,,57,60.18,60.18,60.18,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186479?language=en,data/raw/2014/fifa/timelines/m015_300186479.json
2014-016-208117,2014,final,16,300186499,2014-06-17T22:00:00Z,group,43822,Korea Republic,Russia,307849,H M SON,Y,12',12,3,in_play,90,94.05,pre_quarter_final_reset,4,4,single_caution,,,,,,,78,82.05,82.05,82.05,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186499?language=en,data/raw/2014/fifa/timelines/m016_300186499.json
2014-016-208118,2014,final,16,300186499,2014-06-17T22:00:00Z,group,43822,Korea Republic,Russia,268406,S Y KI,Y,29',29,3,in_play,90,94.05,pre_quarter_final_reset,4,4,single_caution,,,,,,,61,65.05,65.05,65.05,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186499?language=en,data/raw/2014/fifa/timelines/m016_300186499.json
2014-016-208119,2014,final,16,300186499,2014-06-17T22:00:00Z,group,43965,Russia,Korea Republic,358891,O. Shatov,Y,48',48,5,in_play,90,94.05,pre_quarter_final_reset,4,4,single_caution,,,,,,,42,46.05,46.05,46.05,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186499?language=en,data/raw/2014/fifa/timelines/m016_300186499.json
2014-016-208134,2014,final,16,300186499,2014-06-17T22:00:00Z,group,43822,Korea Republic,Russia,291393,J C KOO,Y,89',89,5,in_play,90,94.05,pre_quarter_final_reset,4,4,single_caution,,,,,,,1,5.05,5.05,5.05,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186499?language=en,data/raw/2014/fifa/timelines/m016_300186499.json
2014-017-208101,2014,final,17,300186509,2014-06-17T19:00:00Z,group,43924,Brazil,Mexico,298959,RAMIRES,Y,44',44,3,in_play,90,93.05,pre_quarter_final_reset,3,3,single_caution,,,,,,,46,49.05,49.05,49.05,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186509?language=en,data/raw/2014/fifa/timelines/m017_300186509.json
2014-017-208104,2014,final,17,300186509,2014-06-17T19:00:00Z,group,43911,Mexico,Brazil,289195,Aguilar,Y,58',58,5,in_play,90,93.05,pre_quarter_final_reset,3,2,accumulation_first_caution,2014-051-208805,cross_match,2014-051-208805,51,68,1,32,35.05,35.05,35.05,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186509?language=en,data/raw/2014/fifa/timelines/m017_300186509.json
2014-017-208105,2014,final,17,300186509,2014-06-17T19:00:00Z,group,43911,Mexico,Brazil,379264,Vázquez,Y,61',61,5,in_play,90,93.05,pre_quarter_final_reset,3,1,accumulation_first_caution,2014-034-208494,cross_match,2014-034-208494,34,65,0,29,32.05,32.05,32.05,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186509?language=en,data/raw/2014/fifa/timelines/m017_300186509.json
2014-017-208112,2014,final,17,300186509,2014-06-17T19:00:00Z,group,43924,Brazil,Mexico,289964,T. SILVA,Y,79',79,5,in_play,90,93.05,pre_quarter_final_reset,3,3,accumulation_first_caution,2014-057-208946,cross_match,2014-057-208946,57,63,2,11,14.05,14.05,14.05,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186509?language=en,data/raw/2014/fifa/timelines/m017_300186509.json
2014-018-208174,2014,final,18,300186453,2014-06-18T22:00:00Z,group,43849,Cameroon,Croatia,200261,Alexandre SONG,R,39',39,3,in_play,90,92.12,pre_quarter_final_reset,0,0,dismissal,,,,,,,51,53.12,79.68,106.24,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186453?language=en,data/raw/2014/fifa/timelines/m018_300186453.json
2014-018-208190,2014,final,18,300186453,2014-06-18T22:00:00Z,group,43938,Croatia,Cameroon,214384,EDUARDO,Y,88',88,5,in_play,90,92.12,pre_quarter_final_reset,3,3,single_caution,,,,,,,2,4.12,4.12,4.12,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186453?language=en,data/raw/2014/fifa/timelines/m018_300186453.json
2014-019-208157,2014,final,19,300186498,2014-06-18T19:00:00Z,group,43925,Chile,Spain,267543,A. Vidal,Y,25',25,3,in_play,90,96.02,pre_quarter_final_reset,3,3,single_caution,,,,,,,65,71.02,71.02,71.02,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186498?language=en,data/raw/2014/fifa/timelines/m019_300186498.json
2014-019-208158,2014,final,19,300186498,2014-06-18T19:00:00Z,group,43969,Spain,Chile,207528,Xabi ALONSO,Y,40',40,3,in_play,90,96.02,pre_quarter_final_reset,3,3,single_caution,,,,,,,50,56.02,56.02,56.02,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186498?language=en,data/raw/2014/fifa/timelines/m019_300186498.json
2014-019-208162,2014,final,19,300186498,2014-06-18T19:00:00Z,group,43925,Chile,Spain,349592,E. Mena,Y,60',60,5,in_play,90,96.02,pre_quarter_final_reset,3,2,accumulation_first_caution,2014-049-208745,cross_match,2014-049-208745,49,16,1,30,36.02,36.02,36.02,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186498?language=en,data/raw/2014/fifa/timelines/m019_300186498.json
2014-020-208139,2014,final,20,300186478,2014-06-18T16:00:00Z,group,43976,Australia,Netherlands,213001,CAHILL,Y,42',42,3,in_play,90,93.12,pre_quarter_final_reset,3,0,accumulation_trigger,2014-004-207864,,,,,,48,51.12,51.12,51.12,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186478?language=en,data/raw/2014/fifa/timelines/m020_300186478.json
2014-020-208142,2014,final,20,300186478,2014-06-18T16:00:00Z,group,43960,Netherlands,Australia,217315,Robin VAN PERSIE,Y,46',46,5,in_play,90,93.12,pre_quarter_final_reset,3,0,accumulation_trigger,2014-003-207852,,,,,,44,47.12,47.12,47.12,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186478?language=en,data/raw/2014/fifa/timelines/m020_300186478.json
2014-021-208199,2014,final,21,300186468,2014-06-19T16:00:00Z,group,43854,Côte d'Ivoire,Colombia,176971,Didier ZOKORA,Y,54',54,5,in_play,90,94.3,pre_quarter_final_reset,3,0,accumulation_trigger,2014-006-207946,,,,,,36,40.3,40.3,40.3,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186468?language=en,data/raw/2014/fifa/timelines/m021_300186468.json
2014-021-208213,2014,final,21,300186468,2014-06-19T16:00:00Z,group,43854,Côte d'Ivoire,Colombia,291329,Tioté,Y,89',89,5,in_play,90,94.3,pre_quarter_final_reset,3,3,single_caution,,,,,,,1,5.3,5.3,5.3,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186468?language=en,data/raw/2014/fifa/timelines/m021_300186468.json
2014-022-208231,2014,final,22,300186454,2014-06-19T22:00:00Z,group,43819,Japan,Greece,289027,HASEBE,Y,11',11,3,in_play,90,94.28,pre_quarter_final_reset,3,3,single_caution,,,,,,,79,83.28,83.28,83.28,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186454?language=en,data/raw/2014/fifa/timelines/m022_300186454.json
2014-022-208232,2014,final,22,300186454,2014-06-19T22:00:00Z,group,43949,Greece,Japan,214887,KATSOURANIS,Y,26',26,3,in_play,90,94.28,pre_quarter_final_reset,3,0,same_match_first_caution,2014-022-208235,same_match,2014-022-208235,22,37,0,64,68.28,68.28,68.28,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186454?language=en,data/raw/2014/fifa/timelines/m022_300186454.json
2014-022-208235,2014,final,22,300186454,2014-06-19T22:00:00Z,group,43949,Greece,Japan,214887,KATSOURANIS,Y2,37',37,3,in_play,90,94.28,pre_quarter_final_reset,0,0,dismissal,2014-022-208232,,,,,,53,57.28,85.92,114.56,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186454?language=en,data/raw/2014/fifa/timelines/m022_300186454.json
2014-022-208241,2014,final,22,300186454,2014-06-19T22:00:00Z,group,43949,Greece,Japan,297112,Samaras,Y,54',54,5,in_play,90,94.28,pre_quarter_final_reset,3,3,single_caution,,,,,,,36,40.28,40.28,40.28,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186454?language=en,data/raw/2014/fifa/timelines/m022_300186454.json
2014-022-208246,2014,final,22,300186454,2014-06-19T22:00:00Z,group,43949,Greece,Japan,228336,Torosidis,Y,88',88,5,in_play,90,94.28,pre_quarter_final_reset,3,3,single_caution,,,,,,,2,6.28,6.28,6.28,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186454?language=en,data/raw/2014/fifa/timelines/m022_300186454.json
2014-023-208214,2014,final,23,300186486,2014-06-19T19:00:00Z,group,43930,Uruguay,England,229499,D. GODIN,Y,8',8,3,in_play,90,95.08,pre_quarter_final_reset,3,3,single_caution,,,,,,,82,87.08,87.08,87.08,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186486?language=en,data/raw/2014/fifa/timelines/m023_300186486.json
2014-023-208220,2014,final,23,300186486,2014-06-19T19:00:00Z,group,43942,England,Uruguay,214961,Steven GERRARD,Y,67',67,5,in_play,90,95.08,pre_quarter_final_reset,3,3,single_caution,,,,,,,23,28.08,28.08,28.08,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186486?language=en,data/raw/2014/fifa/timelines/m023_300186486.json
2014-024-208258,2014,final,24,300186500,2014-06-20T16:00:00Z,group,43954,Italy,Costa Rica,301059,M. Balotelli,Y,68',68,5,in_play,90,93.73,pre_quarter_final_reset,3,1,accumulation_first_caution,2014-039-208536,cross_match,2014-039-208536,39,21,0,22,25.73,25.73,25.73,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186500?language=en,data/raw/2014/fifa/timelines/m024_300186500.json
2014-025-208287,2014,final,25,300186514,2014-06-20T19:00:00Z,group,43946,France,Switzerland,358013,Cabaye,Y,87',87,5,in_play,90,94.22,pre_quarter_final_reset,3,0,accumulation_trigger,2014-010-207988,,,,,,3,7.22,7.22,7.22,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186514?language=en,data/raw/2014/fifa/timelines/m025_300186514.json
2014-026-208288,2014,final,26,300186463,2014-06-20T22:00:00Z,group,43909,Honduras,Ecuador,213878,Bernárdez,Y,6',6,3,in_play,90,94.4,pre_quarter_final_reset,3,3,single_caution,,,,,,,84,88.4,88.4,88.4,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186463?language=en,data/raw/2014/fifa/timelines/m026_300186463.json
2014-026-208294,2014,final,26,300186463,2014-06-20T22:00:00Z,group,43927,Ecuador,Honduras,202544,A. Valencia,Y,56',56,5,in_play,90,94.4,pre_quarter_final_reset,3,3,single_caution,,cross_match,2014-042-208633,42,49,0,34,38.4,38.4,38.4,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186463?language=en,data/raw/2014/fifa/timelines/m026_300186463.json
2014-026-208298,2014,final,26,300186463,2014-06-20T22:00:00Z,group,43927,Ecuador,Honduras,373400,E. Valencia,Y,72',72,5,in_play,90,94.4,pre_quarter_final_reset,3,3,single_caution,,,,,,,18,22.4,22.4,22.4,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186463?language=en,data/raw/2014/fifa/timelines/m026_300186463.json
2014-026-208299,2014,final,26,300186463,2014-06-20T22:00:00Z,group,43927,Ecuador,Honduras,290452,Montero,Y,79',79,5,in_play,90,94.4,pre_quarter_final_reset,3,3,single_caution,,,,,,,11,15.4,15.4,15.4,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186463?language=en,data/raw/2014/fifa/timelines/m026_300186463.json
