card_id,edition,match_number,match_id,date_utc,stage,team_id,team,opponent,recipient_type,player_id,player,card_type,minute_label,t_min,period,event_scope,nominal_basis_min,t_end_min,t_end_source,source_url,source_archive
2014-004-207864,2014,4,300186473,2014-06-13T22:00:00Z,group,43976,Australia,Chile,player,213001,CAHILL,Y,43',43,3,in_play,90,94.12,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,data/raw/2014/fifa/timelines/m004_300186473.json
2014-004-207867,2014,4,300186473,2014-06-13T22:00:00Z,group,43976,Australia,Chile,player,197514,JEDINAK,Y,57',57,5,in_play,90,94.12,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,data/raw/2014/fifa/timelines/m004_300186473.json
2014-004-207870,2014,4,300186473,2014-06-13T22:00:00Z,group,43976,Australia,Chile,player,197411,MILLIGAN,Y,67',67,5,in_play,90,94.12,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,data/raw/2014/fifa/timelines/m004_300186473.json
2014-004-207877,2014,4,300186473,2014-06-13T22:00:00Z,group,43925,Chile,Australia,player,318150,C. Aránguiz,Y,85',85,5,in_play,90,94.12,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,data/raw/2014/fifa/timelines/m004_300186473.json
2014-005-207888,2014,5,300186471,2014-06-14T16:00:00Z,group,43926,Colombia,Greece,player,280487,C. SANCHEZ,Y,25',25,3,in_play,90,93.87,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186471?language=en,data/raw/2014/fifa/timelines/m005_300186471.json
2014-005-207889,2014,5,300186471,2014-06-14T16:00:00Z,group,43949,Greece,Colombia,player,299090,S. Papastathopoulos,Y,51',51,5,in_play,90,93.87,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186471?language=en,data/raw/2014/fifa/timelines/m005_300186471.json
2014-005-207890,2014,5,300186471,2014-06-14T16:00:00Z,group,43949,Greece,Colombia,player,215513,Dimitrios SALPINGIDIS,Y,54',54,5,in_play,90,93.87,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186471?language=en,data/raw/2014/fifa/timelines/m005_300186471.json
2014-006-207942,2014,6,300186507,2014-06-15T01:00:00Z,group,43819,Japan,Côte d'Ivoire,player,271253,YOSHIDA,Y,22',22,3,in_play,90,95.9,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186507?language=en,data/raw/2014/fifa/timelines/m006_300186507.json
2014-006-207945,2014,6,300186507,2014-06-15T01:00:00Z,group,43854,Côte d'Ivoire,Japan,player,207946,Bamba,Y,53',53,5,in_play,90,95.9,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186507?language=en,data/raw/2014/fifa/timelines/m006_300186507.json
2014-006-207946,2014,6,300186507,2014-06-15T01:00:00Z,group,43854,Côte d'Ivoire,Japan,player,176971,Didier ZOKORA,Y,57',57,5,in_play,90,95.9,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186507?language=en,data/raw/2014/fifa/timelines/m006_300186507.json
2014-006-207949,2014,6,300186507,2014-06-15T01:00:00Z,group,43819,Japan,Côte d'Ivoire,player,268594,M. Morishige,Y,63',63,5,in_play,90,95.9,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186507?language=en,data/raw/2014/fifa/timelines/m006_300186507.json
2014-007-207906,2014,7,300186489,2014-06-14T19:00:00Z,group,43930,Uruguay,Costa Rica,player,239433,Diego LUGANO,Y,49',49,5,in_play,90,95.13,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186489?language=en,data/raw/2014/fifa/timelines/m007_300186489.json
2014-007-207908,2014,7,300186489,2014-06-14T19:00:00Z,group,43930,Uruguay,Costa Rica,player,276131,Gargano,Y,56',56,5,in_play,90,95.13,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186489?language=en,data/raw/2014/fifa/timelines/m007_300186489.json
2014-007-207918,2014,7,300186489,2014-06-14T19:00:00Z,group,43930,Uruguay,Costa Rica,player,267829,M. CACERES,Y,80',80,5,in_play,90,95.13,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186489?language=en,data/raw/2014/fifa/timelines/m007_300186489.json
2014-007-207924,2014,7,300186489,2014-06-14T19:00:00Z,group,43930,Uruguay,Costa Rica,player,286481,M. PEREIRA,R,90'+3',93,5,in_play,90,95.13,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186489?language=en,data/raw/2014/fifa/timelines/m007_300186489.json
2014-008-207940,2014,8,300186513,2014-06-14T22:00:00Z,group,43942,England,Italy,player,336043,STERLING,Y,90'+1',91,5,in_play,90,95.1,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186513?language=en,data/raw/2014/fifa/timelines/m008_300186513.json
2014-009-207964,2014,9,300186494,2014-06-15T16:00:00Z,group,43927,Ecuador,Switzerland,player,349576,Paredes,Y,52',52,5,in_play,90,93.87,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186494?language=en,data/raw/2014/fifa/timelines/m009_300186494.json
2014-009-207971,2014,9,300186494,2014-06-15T16:00:00Z,group,43971,Switzerland,Ecuador,player,216645,DJOUROU,Y,83',83,5,in_play,90,93.87,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186494?language=en,data/raw/2014/fifa/timelines/m009_300186494.json
2014-010-207982,2014,10,300186496,2014-06-15T19:00:00Z,group,43946,France,Honduras,player,212246,Patrice EVRA,Y,6',6,3,in_play,90,93.08,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-207983,2014,10,300186496,2014-06-15T19:00:00Z,group,43909,Honduras,France,player,209827,W. Palacios,Y,27',27,3,in_play,90,93.08,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-207984,2014,10,300186496,2014-06-15T19:00:00Z,group,43946,France,Honduras,player,367388,POGBA,Y,27',27,3,in_play,90,93.08,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-207985,2014,10,300186496,2014-06-15T19:00:00Z,group,43909,Honduras,France,player,209827,W. Palacios,Y2,42',42,3,in_play,90,93.08,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-207988,2014,10,300186496,2014-06-15T19:00:00Z,group,43946,France,Honduras,player,358013,Cabaye,Y,45'+1',46,3,in_play,90,93.08,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-207994,2014,10,300186496,2014-06-15T19:00:00Z,group,43909,Honduras,France,player,237071,B. García,Y,52',52,5,in_play,90,93.08,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-010-208004,2014,10,300186496,2014-06-15T19:00:00Z,group,43909,Honduras,France,player,270400,L. Garrido,Y,82',82,5,in_play,90,93.08,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186496?language=en,data/raw/2014/fifa/timelines/m010_300186496.json
2014-011-208006,2014,11,300186477,2014-06-15T22:00:00Z,group,43922,Argentina,Bosnia-Herzegovina,player,318688,M. Rojo,Y,24',24,3,in_play,90,93,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186477?language=en,data/raw/2014/fifa/timelines/m011_300186477.json
2014-011-208011,2014,11,300186477,2014-06-15T22:00:00Z,group,44037,Bosnia-Herzegovina,Argentina,player,216069,Spahic,Y,62',62,5,in_play,90,93,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186477?language=en,data/raw/2014/fifa/timelines/m011_300186477.json
2014-012-208058,2014,12,300186505,2014-06-16T19:00:00Z,group,43817,Iran,Nigeria,player,237949,Teymourian,Y,74',74,5,in_play,90,92.08,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186505?language=en,data/raw/2014/fifa/timelines/m012_300186505.json
2014-013-208032,2014,13,300186475,2014-06-16T16:00:00Z,group,43963,Portugal,Germany,player,214407,Pereira,Y,10',10,3,in_play,90,92.1,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186475?language=en,data/raw/2014/fifa/timelines/m013_300186475.json
2014-013-208037,2014,13,300186475,2014-06-16T16:00:00Z,group,43963,Portugal,Germany,player,275931,Pepe,R,36',36,3,in_play,90,92.1,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186475?language=en,data/raw/2014/fifa/timelines/m013_300186475.json
2014-014-208064,2014,14,300186512,2014-06-16T22:00:00Z,group,43860,Ghana,United States,player,311850,Rabiu,Y,29',29,3,in_play,90,95.03,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186512?language=en,data/raw/2014/fifa/timelines/m014_300186512.json
2014-014-208077,2014,14,300186512,2014-06-16T22:00:00Z,group,43860,Ghana,United States,player,183000,Sulley MUNTARI,Y,90'+1',91,5,in_play,90,95.03,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186512?language=en,data/raw/2014/fifa/timelines/m014_300186512.json
2014-015-208084,2014,15,300186479,2014-06-17T16:00:00Z,group,43935,Belgium,Algeria,player,290904,VERTONGHEN,Y,23',23,3,in_play,90,93.18,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186479?language=en,data/raw/2014/fifa/timelines/m015_300186479.json
2014-015-208086,2014,15,300186479,2014-06-17T16:00:00Z,group,43843,Algeria,Belgium,player,379939,N. Bentaleb,Y,33',33,3,in_play,90,93.18,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186479?language=en,data/raw/2014/fifa/timelines/m015_300186479.json
2014-016-208117,2014,16,300186499,2014-06-17T22:00:00Z,group,43822,Korea Republic,Russia,player,307849,H M SON,Y,12',12,3,in_play,90,94.05,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186499?language=en,data/raw/2014/fifa/timelines/m016_300186499.json
2014-016-208118,2014,16,300186499,2014-06-17T22:00:00Z,group,43822,Korea Republic,Russia,player,268406,S Y KI,Y,29',29,3,in_play,90,94.05,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186499?language=en,data/raw/2014/fifa/timelines/m016_300186499.json
2014-016-208119,2014,16,300186499,2014-06-17T22:00:00Z,group,43965,Russia,Korea Republic,player,358891,O. Shatov,Y,48',48,5,in_play,90,94.05,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186499?language=en,data/raw/2014/fifa/timelines/m016_300186499.json
2014-016-208134,2014,16,300186499,2014-06-17T22:00:00Z,group,43822,Korea Republic,Russia,player,291393,J C KOO,Y,89',89,5,in_play,90,94.05,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186499?language=en,data/raw/2014/fifa/timelines/m016_300186499.json
2014-017-208101,2014,17,300186509,2014-06-17T19:00:00Z,group,43924,Brazil,Mexico,player,298959,RAMIRES,Y,44',44,3,in_play,90,93.05,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186509?language=en,data/raw/2014/fifa/timelines/m017_300186509.json
2014-017-208104,2014,17,300186509,2014-06-17T19:00:00Z,group,43911,Mexico,Brazil,player,289195,Aguilar,Y,58',58,5,in_play,90,93.05,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186509?language=en,data/raw/2014/fifa/timelines/m017_300186509.json
2014-017-208105,2014,17,300186509,2014-06-17T19:00:00Z,group,43911,Mexico,Brazil,player,379264,Vázquez,Y,61',61,5,in_play,90,93.05,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186509?language=en,data/raw/2014/fifa/timelines/m017_300186509.json
2014-017-208112,2014,17,300186509,2014-06-17T19:00:00Z,group,43924,Brazil,Mexico,player,289964,T. SILVA,Y,79',79,5,in_play,90,93.05,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186509?language=en,data/raw/2014/fifa/timelines/m017_300186509.json
2014-018-208174,2014,18,300186453,2014-06-18T22:00:00Z,group,43849,Cameroon,Croatia,player,200261,Alexandre SONG,R,39',39,3,in_play,90,92.12,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186453?language=en,data/raw/2014/fifa/timelines/m018_300186453.json
2014-018-208190,2014,18,300186453,2014-06-18T22:00:00Z,group,43938,Croatia,Cameroon,player,214384,EDUARDO,Y,88',88,5,in_play,90,92.12,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186453?language=en,data/raw/2014/fifa/timelines/m018_300186453.json
2014-019-208157,2014,19,300186498,2014-06-18T19:00:00Z,group,43925,Chile,Spain,player,267543,A. Vidal,Y,25',25,3,in_play,90,96.02,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186498?language=en,data/raw/2014/fifa/timelines/m019_300186498.json
2014-019-208158,2014,19,300186498,2014-06-18T19:00:00Z,group,43969,Spain,Chile,player,207528,Xabi ALONSO,Y,40',40,3,in_play,90,96.02,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186498?language=en,data/raw/2014/fifa/timelines/m019_300186498.json
2014-019-208162,2014,19,300186498,2014-06-18T19:00:00Z,group,43925,Chile,Spain,player,349592,E. Mena,Y,60',60,5,in_play,90,96.02,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186498?language=en,data/raw/2014/fifa/timelines/m019_300186498.json
2014-020-208139,2014,20,300186478,2014-06-18T16:00:00Z,group,43976,Australia,Netherlands,player,213001,CAHILL,Y,42',42,3,in_play,90,93.12,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186478?language=en,data/raw/2014/fifa/timelines/m020_300186478.json
2014-020-208142,2014,20,300186478,2014-06-18T16:00:00Z,group,43960,Netherlands,Australia,player,217315,Robin VAN PERSIE,Y,46',46,5,in_play,90,93.12,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186478?language=en,data/raw/2014/fifa/timelines/m020_300186478.json
2014-021-208199,2014,21,300186468,2014-06-19T16:00:00Z,group,43854,Côte d'Ivoire,Colombia,player,176971,Didier ZOKORA,Y,54',54,5,in_play,90,94.3,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186468?language=en,data/raw/2014/fifa/timelines/m021_300186468.json
2014-021-208213,2014,21,300186468,2014-06-19T16:00:00Z,group,43854,Côte d'Ivoire,Colombia,player,291329,Tioté,Y,89',89,5,in_play,90,94.3,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186468?language=en,data/raw/2014/fifa/timelines/m021_300186468.json
2014-022-208231,2014,22,300186454,2014-06-19T22:00:00Z,group,43819,Japan,Greece,player,289027,HASEBE,Y,11',11,3,in_play,90,94.28,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186454?language=en,data/raw/2014/fifa/timelines/m022_300186454.json
2014-022-208232,2014,22,300186454,2014-06-19T22:00:00Z,group,43949,Greece,Japan,player,214887,KATSOURANIS,Y,26',26,3,in_play,90,94.28,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186454?language=en,data/raw/2014/fifa/timelines/m022_300186454.json
2014-022-208235,2014,22,300186454,2014-06-19T22:00:00Z,group,43949,Greece,Japan,player,214887,KATSOURANIS,Y2,37',37,3,in_play,90,94.28,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186454?language=en,data/raw/2014/fifa/timelines/m022_300186454.json
2014-022-208241,2014,22,300186454,2014-06-19T22:00:00Z,group,43949,Greece,Japan,player,297112,Samaras,Y,54',54,5,in_play,90,94.28,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186454?language=en,data/raw/2014/fifa/timelines/m022_300186454.json
2014-022-208246,2014,22,300186454,2014-06-19T22:00:00Z,group,43949,Greece,Japan,player,228336,Torosidis,Y,88',88,5,in_play,90,94.28,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186454?language=en,data/raw/2014/fifa/timelines/m022_300186454.json
2014-023-208214,2014,23,300186486,2014-06-19T19:00:00Z,group,43930,Uruguay,England,player,229499,D. GODIN,Y,8',8,3,in_play,90,95.08,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186486?language=en,data/raw/2014/fifa/timelines/m023_300186486.json
2014-023-208220,2014,23,300186486,2014-06-19T19:00:00Z,group,43942,England,Uruguay,player,214961,Steven GERRARD,Y,67',67,5,in_play,90,95.08,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186486?language=en,data/raw/2014/fifa/timelines/m023_300186486.json
2014-024-208258,2014,24,300186500,2014-06-20T16:00:00Z,group,43954,Italy,Costa Rica,player,301059,M. Balotelli,Y,68',68,5,in_play,90,93.73,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186500?language=en,data/raw/2014/fifa/timelines/m024_300186500.json
2014-024-208261,2014,24,300186500,2014-06-20T16:00:00Z,group,43901,Costa Rica,Italy,player,268822,José Cubero,Y,70',70,5,in_play,90,93.73,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186500?language=en,data/raw/2014/fifa/timelines/m024_300186500.json
2014-025-208287,2014,25,300186514,2014-06-20T19:00:00Z,group,43946,France,Switzerland,player,358013,Cabaye,Y,87',87,5,in_play,90,94.22,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186514?language=en,data/raw/2014/fifa/timelines/m025_300186514.json
2014-026-208288,2014,26,300186463,2014-06-20T22:00:00Z,group,43909,Honduras,Ecuador,player,213878,Bernárdez,Y,6',6,3,in_play,90,94.4,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186463?language=en,data/raw/2014/fifa/timelines/m026_300186463.json
2014-026-208291,2014,26,300186463,2014-06-20T22:00:00Z,group,43909,Honduras,Ecuador,player,323623,J. Bengtson,Y,45'+2',47,3,in_play,90,94.4,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186463?language=en,data/raw/2014/fifa/timelines/m026_300186463.json
2014-026-208294,2014,26,300186463,2014-06-20T22:00:00Z,group,43927,Ecuador,Honduras,player,202544,A. Valencia,Y,56',56,5,in_play,90,94.4,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186463?language=en,data/raw/2014/fifa/timelines/m026_300186463.json
2014-026-208298,2014,26,300186463,2014-06-20T22:00:00Z,group,43927,Ecuador,Honduras,player,373400,E. Valencia,Y,72',72,5,in_play,90,94.4,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186463?language=en,data/raw/2014/fifa/timelines/m026_300186463.json
2014-026-208299,2014,26,300186463,2014-06-20T22:00:00Z,group,43927,Ecuador,Honduras,player,290452,Montero,Y,79',79,5,in_play,90,94.4,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186463?language=en,data/raw/2014/fifa/timelines/m026_300186463.json
2014-027-208317,2014,27,300186466,2014-06-21T16:00:00Z,group,43817,Iran,Argentina,player,185641,Javad NEKOUNAM,Y,52',52,5,in_play,90,94.63,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186466?language=en,data/raw/2014/fifa/timelines/m027_300186466.json
2014-027-208318,2014,27,300186466,2014-06-21T16:00:00Z,group,43817,Iran,Argentina,player,213170,SHOJAEI. M,Y,72',72,5,in_play,90,94.63,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186466?language=en,data/raw/2014/fifa/timelines/m027_300186466.json
2014-028-208350,2014,28,300186511,2014-06-21T22:00:00Z,group,44037,Bosnia-Herzegovina,Nigeria,player,233167,H. Medunjanin,Y,5',5,3,in_play,90,93.27,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186511?language=en,data/raw/2014/fifa/timelines/m028_300186511.json
2014-028-208362,2014,28,300186511,2014-06-21T22:00:00Z,group,43876,Nigeria,Bosnia-Herzegovina,player,234463,MIKEL,Y,81',81,5,in_play,90,93.27,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186511?language=en,data/raw/2014/fifa/timelines/m028_300186511.json
2014-029-208349,2014,29,300186493,2014-06-21T19:00:00Z,group,43860,Ghana,Germany,player,183000,Sulley MUNTARI,Y,90'+3',93,5,in_play,90,94.32,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186493?language=en,data/raw/2014/fifa/timelines/m029_300186493.json
2014-030-208415,2014,30,300186483,2014-06-22T22:00:00Z,group,43921,United States,Portugal,player,183893,Jermaine JONES,Y,74',74,5,in_play,90,95.53,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186483?language=en,data/raw/2014/fifa/timelines/m030_300186483.json
2014-031-208370,2014,31,300186481,2014-06-22T16:00:00Z,group,43965,Russia,Belgium,player,358049,D. Glushakov,Y,37',37,3,in_play,90,93.33,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186481?language=en,data/raw/2014/fifa/timelines/m031_300186481.json
2014-031-208371,2014,31,300186481,2014-06-22T16:00:00Z,group,43935,Belgium,Russia,player,290821,WITSEL,Y,53',53,5,in_play,90,93.33,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186481?language=en,data/raw/2014/fifa/timelines/m031_300186481.json
2014-031-208376,2014,31,300186481,2014-06-22T16:00:00Z,group,43935,Belgium,Russia,player,290864,ALDERWEIRELD,Y,72',72,5,in_play,90,93.33,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186481?language=en,data/raw/2014/fifa/timelines/m031_300186481.json
2014-032-208388,2014,32,300186495,2014-06-22T19:00:00Z,group,43822,Korea Republic,Algeria,player,363578,Y LEE,Y,53',53,5,in_play,90,94.1,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186495?language=en,data/raw/2014/fifa/timelines/m032_300186495.json
2014-032-208394,2014,32,300186495,2014-06-22T19:00:00Z,group,43843,Algeria,Korea Republic,player,215208,Madjid Bougherra,Y,66',66,5,in_play,90,94.1,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186495?language=en,data/raw/2014/fifa/timelines/m032_300186495.json
2014-032-208395,2014,32,300186495,2014-06-22T19:00:00Z,group,43822,Korea Republic,Algeria,player,274329,Han Kook-Young,Y,68',68,5,in_play,90,94.1,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186495?language=en,data/raw/2014/fifa/timelines/m032_300186495.json
2014-033-208468,2014,33,300186472,2014-06-23T20:00:00Z,group,43849,Cameroon,Brazil,player,310048,Enoh,Y,11',11,3,in_play,90,94.18,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186472?language=en,data/raw/2014/fifa/timelines/m033_300186472.json
2014-033-208483,2014,33,300186472,2014-06-23T20:00:00Z,group,43849,Cameroon,Brazil,player,336791,SALLI,Y,74',74,5,in_play,90,94.18,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186472?language=en,data/raw/2014/fifa/timelines/m033_300186472.json
2014-033-208484,2014,33,300186472,2014-06-23T20:00:00Z,group,43849,Cameroon,Brazil,player,200935,Stephane MBIA,Y,79',79,5,in_play,90,94.18,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186472?language=en,data/raw/2014/fifa/timelines/m033_300186472.json
2014-034-208488,2014,34,300186452,2014-06-23T20:00:00Z,group,43938,Croatia,Mexico,player,296633,RAKITIĆ,Y,8',8,3,in_play,90,94.1,fotmob_period_clock,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186452?language=en,data/raw/2014/fifa/timelines/m034_300186452.json
